event_name,event_type,day_of_week,start_time,location,promotion_channel,expected_audience,actual_attendance,budget,feedback_score,feedback_text
Global Product Workshop,Hackathon,Monday,2PM,Online,Flyers,432,388,8349,3.5,Good organization and networking
Annual Networking Forum,Social Event,Saturday,2PM,Engineering Hall,Email,365,252,4420,3.0,Good organization and networking
Collaborative AI Showcase,Networking,Saturday,12PM,University Center,Email,261,204,5911,2.1,Felt underprepared for the number of attendees
Applied Career Night,Seminar,Tuesday,10AM,Student Center,Instagram,258,199,8293,3.3,Interesting but promotion was weak
Interactive Innovation Showcase,Research Talk,Wednesday,2PM,University Center,Email,383,414,9906,3.2,Good organization and networking
Campus Innovation Night,Seminar,Monday,12PM,Online,Instagram,68,73,7004,2.3,"Turnout was disappointing, hard to stay engaged"
Open Cybersecurity Showcase,Research Talk,Monday,10AM,Library,Multiple,358,215,2258,2.9,"Turnout was disappointing, hard to stay engaged"
Regional Entrepreneurship Meetup,Social Event,Friday,4PM,Engineering Hall,Multiple,289,457,4970,3.1,Good organization and networking
Modern Networking Night,Hackathon,Thursday,2PM,Engineering Hall,Email,427,470,6023,3.1,Interesting but promotion was weak
Advanced Networking Summit,Networking,Tuesday,6PM,Online,LinkedIn,313,370,5872,3.5,Good organization and networking
Global Cybersecurity Night,Networking,Tuesday,4PM,Library,Instagram,53,45,4772,2.9,"Turnout was disappointing, hard to stay engaged"
Emerging Innovation Meetup,Research Talk,Wednesday,2PM,Student Center,Multiple,55,56,4785,3.3,Average event could improve timing
Interactive Innovation Night,Workshop,Saturday,10AM,Online,Flyers,131,104,7142,2.7,Felt underprepared for the number of attendees
Campus Cybersecurity Meetup,Research Talk,Saturday,10AM,Library,Flyers,364,122,4118,2.1,Too crowded and poorly managed
Interactive Networking Night,Career Fair,Saturday,6PM,Library,LinkedIn,409,406,9498,2.6,"Turnout was disappointing, hard to stay engaged"
Emerging AI Forum,Networking,Tuesday,6PM,University Center,Multiple,278,455,9153,3.2,Average event could improve timing
Campus Entrepreneurship Night,Workshop,Monday,6PM,Student Center,Instagram,343,517,9292,3.9,Good organization and networking
Collaborative Data Science Symposium,Social Event,Thursday,10AM,Engineering Hall,Multiple,300,316,1989,3.0,Average event could improve timing
Applied Design Showcase,Networking,Friday,4PM,Online,Multiple,79,131,9655,2.6,"Turnout was disappointing, hard to stay engaged"
Advanced Entrepreneurship Showcase,Workshop,Thursday,2PM,University Center,Instagram,346,365,1696,2.9,Too crowded and poorly managed
Campus Robotics Night,Workshop,Friday,10AM,University Center,LinkedIn,66,56,5203,2.3,"Turnout was disappointing, hard to stay engaged"
Regional Networking Showcase,Hackathon,Saturday,4PM,Library,LinkedIn,279,238,6684,2.8,"Turnout was disappointing, hard to stay engaged"
Interactive Robotics Showcase,Seminar,Friday,12PM,Library,Email,141,115,9302,2.8,"Turnout was disappointing, hard to stay engaged"
Interactive Cloud Computing Night,Networking,Monday,10AM,Library,LinkedIn,394,295,9420,2.7,"Turnout was disappointing, hard to stay engaged"
Regional Data Science Night,Networking,Tuesday,4PM,Library,Instagram,191,164,3588,3.2,Average event could improve timing
Modern Data Science Symposium,Hackathon,Thursday,6PM,University Center,Instagram,155,260,1602,2.7,Too crowded and poorly managed
Interactive Career Night,Social Event,Saturday,10AM,Engineering Hall,Email,255,169,7691,2.4,Too crowded and poorly managed
Modern Research Night,Seminar,Monday,12PM,Student Center,Flyers,169,121,9938,2.2,"Turnout was disappointing, hard to stay engaged"
Advanced Design Workshop,Hackathon,Wednesday,12PM,Library,Instagram,388,485,9040,2.9,Too crowded and poorly managed
Emerging Networking Showcase,Workshop,Friday,6PM,Engineering Hall,LinkedIn,334,478,8620,2.2,Too crowded and poorly managed
Campus Product Symposium,Career Fair,Friday,2PM,Online,LinkedIn,126,144,5413,3.5,Interesting but promotion was weak
Advanced Product Forum,Networking,Tuesday,2PM,Engineering Hall,LinkedIn,79,83,9714,2.7,"Turnout was disappointing, hard to stay engaged"
Emerging AI Forum,Networking,Thursday,12PM,Library,Instagram,219,201,1795,2.6,"Turnout was disappointing, hard to stay engaged"
Global Research Showcase,Hackathon,Tuesday,10AM,Library,LinkedIn,394,260,1147,2.6,Too crowded and poorly managed
Annual Career Meetup,Hackathon,Friday,12PM,Online,Instagram,495,722,5955,2.7,"Turnout was disappointing, hard to stay engaged"
Global Product Workshop,Hackathon,Monday,4PM,Engineering Hall,Multiple,410,525,3850,2.8,"Turnout was disappointing, hard to stay engaged"
Open Entrepreneurship Forum,Seminar,Wednesday,4PM,Online,Multiple,382,510,6386,2.7,"Turnout was disappointing, hard to stay engaged"
Advanced Data Science Forum,Career Fair,Thursday,10AM,Online,Flyers,154,170,6573,2.9,"Turnout was disappointing, hard to stay engaged"
Advanced Design Meetup,Seminar,Tuesday,12PM,University Center,Flyers,333,238,9988,2.8,Felt underprepared for the number of attendees
Interactive Networking Showcase,Networking,Wednesday,12PM,Online,Multiple,476,795,4526,3.3,Interesting but promotion was weak
Campus Innovation Forum,Research Talk,Wednesday,4PM,Online,LinkedIn,136,159,6270,2.8,Too crowded and poorly managed
Annual Data Science Symposium,Career Fair,Tuesday,6PM,University Center,Multiple,67,115,1717,2.9,Felt underprepared for the number of attendees
Collaborative Entrepreneurship Summit,Networking,Saturday,12PM,University Center,Instagram,54,49,4083,2.8,Felt underprepared for the number of attendees
Interactive Cloud Computing Summit,Social Event,Saturday,6PM,Online,LinkedIn,58,52,608,3.6,Average event could improve timing
Applied Cloud Computing Night,Workshop,Friday,2PM,Student Center,Flyers,58,51,8728,3.5,Average event could improve timing
Interactive Design Night,Networking,Monday,10AM,Student Center,Instagram,173,129,3644,2.2,Felt underprepared for the number of attendees
Global Innovation Meetup,Research Talk,Wednesday,4PM,University Center,Flyers,257,208,8020,2.8,Felt underprepared for the number of attendees
Interactive Cybersecurity Summit,Research Talk,Saturday,10AM,University Center,Email,257,146,6713,2.5,"Turnout was disappointing, hard to stay engaged"
Emerging Research Night,Hackathon,Monday,12PM,University Center,LinkedIn,482,490,7609,2.9,Felt underprepared for the number of attendees
Open Data Science Summit,Workshop,Friday,10AM,Engineering Hall,Instagram,494,461,9786,2.7,"Turnout was disappointing, hard to stay engaged"
Global Research Meetup,Hackathon,Wednesday,6PM,Student Center,Email,141,184,5652,2.8,Too crowded and poorly managed
Modern Cloud Computing Showcase,Seminar,Saturday,4PM,University Center,Flyers,133,111,9739,2.6,Too crowded and poorly managed
Regional Cloud Computing Meetup,Social Event,Wednesday,4PM,Engineering Hall,Email,306,301,6166,2.1,Too crowded and poorly managed
Annual Networking Workshop,Seminar,Monday,2PM,Student Center,Multiple,354,419,6999,3.5,Interesting but promotion was weak
Campus Networking Forum,Seminar,Thursday,4PM,Engineering Hall,Flyers,333,255,6650,2.9,"Turnout was disappointing, hard to stay engaged"
Regional AI Workshop,Hackathon,Thursday,10AM,Student Center,Flyers,458,459,4537,3.1,Average event could improve timing
Annual Design Symposium,Networking,Thursday,12PM,Online,Flyers,234,254,2245,2.9,Too crowded and poorly managed
Interactive Product Forum,Research Talk,Wednesday,10AM,Engineering Hall,Email,145,110,7561,2.5,"Turnout was disappointing, hard to stay engaged"
Modern Entrepreneurship Night,Career Fair,Monday,10AM,University Center,Flyers,333,264,2024,3.6,Average event could improve timing
Interactive Career Forum,Career Fair,Monday,2PM,Online,LinkedIn,448,443,1887,3.7,Average event could improve timing
Collaborative Robotics Summit,Social Event,Tuesday,4PM,Engineering Hall,Instagram,187,211,5433,2.9,"Turnout was disappointing, hard to stay engaged"
Open Career Showcase,Networking,Thursday,2PM,Online,Flyers,297,268,1760,2.6,"Turnout was disappointing, hard to stay engaged"
Open Data Science Symposium,Hackathon,Thursday,6PM,Student Center,Instagram,284,431,2252,2.9,Too crowded and poorly managed
Modern Robotics Workshop,Research Talk,Friday,4PM,Library,LinkedIn,221,175,7555,2.7,Felt underprepared for the number of attendees
Open Innovation Showcase,Research Talk,Friday,12PM,Online,Flyers,140,106,7024,2.3,"Turnout was disappointing, hard to stay engaged"
Emerging AI Forum,Hackathon,Thursday,6PM,Engineering Hall,Flyers,242,293,5092,3.3,Interesting but promotion was weak
Global Cybersecurity Night,Networking,Friday,6PM,Engineering Hall,Multiple,63,101,8063,2.9,Felt underprepared for the number of attendees
Open Networking Meetup,Research Talk,Saturday,10AM,Online,LinkedIn,121,70,5461,2.3,Too crowded and poorly managed
Advanced Product Forum,Hackathon,Thursday,4PM,University Center,LinkedIn,356,505,8351,2.8,Felt underprepared for the number of attendees
Interactive Research Showcase,Seminar,Saturday,4PM,Student Center,Email,454,377,6390,3.1,Average event could improve timing
Applied Networking Showcase,Workshop,Monday,12PM,Library,Instagram,381,314,1225,2.5,Felt underprepared for the number of attendees
Interactive Innovation Forum,Career Fair,Wednesday,4PM,University Center,Email,100,136,4739,4.1,Amazing event and very informative
Applied Research Showcase,Social Event,Friday,6PM,Engineering Hall,LinkedIn,241,277,6908,3.2,Interesting but promotion was weak
Regional AI Night,Social Event,Tuesday,2PM,University Center,LinkedIn,103,91,5340,3.0,Interesting but promotion was weak
Collaborative Entrepreneurship Symposium,Hackathon,Tuesday,2PM,Library,Flyers,283,169,3889,2.7,Felt underprepared for the number of attendees
Regional Data Science Night,Workshop,Thursday,4PM,Library,Email,203,224,1232,3.8,Average event could improve timing
Campus Entrepreneurship Forum,Research Talk,Saturday,10AM,Engineering Hall,Instagram,314,149,3358,2.1,Felt underprepared for the number of attendees
Annual Innovation Forum,Career Fair,Thursday,12PM,Online,Instagram,145,241,7580,3.2,Interesting but promotion was weak
Open Innovation Night,Networking,Thursday,6PM,Online,LinkedIn,52,70,4019,3.3,Good organization and networking
Global Cybersecurity Summit,Seminar,Monday,6PM,University Center,Multiple,145,193,6493,3.5,Interesting but promotion was weak
Advanced Research Summit,Research Talk,Saturday,4PM,Student Center,Flyers,355,208,6867,2.4,Felt underprepared for the number of attendees
Modern AI Showcase,Research Talk,Wednesday,4PM,Student Center,Instagram,466,488,5373,3.5,Average event could improve timing
Community Robotics Forum,Networking,Wednesday,10AM,Engineering Hall,Flyers,109,68,3499,2.3,"Turnout was disappointing, hard to stay engaged"
Collaborative Networking Forum,Career Fair,Thursday,6PM,Engineering Hall,Multiple,246,520,7431,1.9,Too crowded and poorly managed
Campus Entrepreneurship Night,Hackathon,Saturday,12PM,Student Center,Instagram,300,328,5232,2.5,Too crowded and poorly managed
Advanced Product Forum,Career Fair,Friday,10AM,Library,Email,298,262,2736,2.9,Too crowded and poorly managed
Campus AI Forum,Hackathon,Thursday,4PM,Online,LinkedIn,413,705,7772,3.3,Interesting but promotion was weak
Campus Cybersecurity Forum,Workshop,Tuesday,2PM,University Center,Flyers,165,163,9308,3.1,Interesting but promotion was weak
Interactive Entrepreneurship Forum,Hackathon,Thursday,6PM,Student Center,Email,343,436,2371,3.2,Interesting but promotion was weak
Applied Career Workshop,Seminar,Monday,4PM,Student Center,Instagram,267,198,2177,2.9,Felt underprepared for the number of attendees
Regional Career Meetup,Seminar,Monday,4PM,Library,Flyers,491,222,1925,2.5,"Turnout was disappointing, hard to stay engaged"
Modern Robotics Night,Seminar,Saturday,6PM,Library,Multiple,373,385,7515,3.6,Good organization and networking
Interactive Robotics Workshop,Networking,Tuesday,10AM,Student Center,Flyers,322,228,5105,2.5,Felt underprepared for the number of attendees
Regional Robotics Night,Hackathon,Wednesday,2PM,Student Center,Flyers,489,485,8928,3.2,Average event could improve timing
Campus Innovation Workshop,Seminar,Thursday,10AM,Library,Instagram,409,262,2674,3.2,Good organization and networking
Advanced Cloud Computing Symposium,Seminar,Tuesday,4PM,Online,Instagram,345,402,4902,3.3,Average event could improve timing
Emerging Cybersecurity Symposium,Workshop,Saturday,10AM,Online,Multiple,433,489,5058,3.7,Average event could improve timing
Interactive Cloud Computing Meetup,Research Talk,Friday,10AM,University Center,LinkedIn,375,246,6369,2.4,Too crowded and poorly managed
Interactive Research Meetup,Career Fair,Tuesday,4PM,Library,Flyers,474,363,5146,3.1,Interesting but promotion was weak
Regional Robotics Symposium,Social Event,Thursday,2PM,University Center,Email,100,136,8029,3.5,Good organization and networking
Open AI Showcase,Career Fair,Monday,4PM,Engineering Hall,Instagram,382,463,5445,2.5,Too crowded and poorly managed
Open Innovation Showcase,Research Talk,Wednesday,10AM,Library,Instagram,76,48,6993,2.7,Felt underprepared for the number of attendees
Regional Robotics Forum,Seminar,Tuesday,4PM,University Center,Email,50,40,3996,2.9,"Turnout was disappointing, hard to stay engaged"
Advanced Innovation Meetup,Networking,Friday,4PM,University Center,Email,406,440,6129,3.5,Good organization and networking
Emerging Entrepreneurship Workshop,Career Fair,Monday,12PM,Online,Email,424,475,2178,3.2,Good organization and networking
Modern Networking Meetup,Networking,Thursday,12PM,Engineering Hall,Email,321,407,9728,4.2,Amazing event and very informative
Regional AI Meetup,Career Fair,Wednesday,12PM,Engineering Hall,LinkedIn,365,406,7748,3.9,Good organization and networking
Global Design Showcase,Seminar,Monday,6PM,Online,Flyers,269,262,5652,3.3,Good organization and networking
Annual Networking Workshop,Workshop,Tuesday,6PM,Student Center,Multiple,419,725,5168,3.0,Average event could improve timing
Applied Data Science Night,Networking,Friday,6PM,Student Center,Instagram,432,567,6918,2.7,"Turnout was disappointing, hard to stay engaged"
Modern AI Forum,Seminar,Tuesday,4PM,Online,Email,173,186,8685,3.2,Average event could improve timing
Emerging Product Showcase,Workshop,Wednesday,2PM,Engineering Hall,LinkedIn,490,649,9812,3.2,Interesting but promotion was weak
Global Data Science Summit,Networking,Thursday,10AM,University Center,Multiple,84,97,725,4.2,Loved the speakers and content
Community Cloud Computing Summit,Seminar,Thursday,6PM,Library,Multiple,442,610,7306,3.3,Interesting but promotion was weak
Regional Product Meetup,Hackathon,Friday,6PM,Student Center,Instagram,192,213,1869,3.6,Interesting but promotion was weak
Community Cloud Computing Showcase,Seminar,Tuesday,6PM,Library,LinkedIn,350,213,1583,2.3,"Turnout was disappointing, hard to stay engaged"
Modern Research Summit,Seminar,Tuesday,10AM,Engineering Hall,Email,272,153,2400,2.8,"Turnout was disappointing, hard to stay engaged"
Annual Robotics Symposium,Research Talk,Saturday,12PM,University Center,Email,412,304,2748,1.8,Felt underprepared for the number of attendees
Open Innovation Summit,Research Talk,Friday,6PM,Library,Instagram,240,177,2579,3.2,Average event could improve timing
Community Research Showcase,Seminar,Monday,2PM,Online,Flyers,318,193,1546,2.2,"Turnout was disappointing, hard to stay engaged"
Campus Entrepreneurship Meetup,Workshop,Thursday,4PM,Student Center,Flyers,78,88,8685,2.7,Felt underprepared for the number of attendees
Annual Data Science Meetup,Research Talk,Monday,6PM,University Center,Instagram,429,400,8836,2.9,Too crowded and poorly managed
Community Innovation Showcase,Workshop,Thursday,2PM,Online,Instagram,141,183,1079,3.5,Average event could improve timing
Regional Research Workshop,Career Fair,Tuesday,2PM,Engineering Hall,LinkedIn,418,416,5741,3.0,Interesting but promotion was weak
Advanced AI Symposium,Workshop,Friday,10AM,Engineering Hall,Instagram,461,480,8950,2.7,Too crowded and poorly managed
Emerging Career Workshop,Seminar,Wednesday,2PM,Library,Email,333,298,7983,3.1,Good organization and networking
Community Product Night,Social Event,Wednesday,6PM,Engineering Hall,LinkedIn,238,283,8583,2.9,Too crowded and poorly managed
Emerging Networking Night,Seminar,Tuesday,12PM,University Center,LinkedIn,62,60,4317,3.0,Average event could improve timing
Global Product Meetup,Hackathon,Monday,2PM,University Center,LinkedIn,484,498,5538,2.8,Too crowded and poorly managed
Interactive Cloud Computing Showcase,Career Fair,Thursday,10AM,Engineering Hall,Flyers,97,84,1219,3.0,Good organization and networking
Advanced AI Forum,Research Talk,Thursday,10AM,Student Center,Email,308,204,2687,2.5,Felt underprepared for the number of attendees
Advanced Innovation Night,Social Event,Monday,4PM,Engineering Hall,Instagram,199,174,4776,3.0,Interesting but promotion was weak
Campus Research Summit,Hackathon,Wednesday,2PM,Online,Flyers,169,143,1723,3.9,Good organization and networking
Interactive Entrepreneurship Night,Networking,Monday,12PM,Online,LinkedIn,210,195,7160,2.6,Too crowded and poorly managed
Campus Networking Workshop,Networking,Thursday,2PM,Online,Flyers,486,497,2464,3.7,Good organization and networking
Regional Innovation Meetup,Seminar,Saturday,6PM,University Center,Instagram,477,447,5870,1.9,Too crowded and poorly managed
Advanced Cybersecurity Forum,Research Talk,Thursday,6PM,University Center,Flyers,183,160,3348,2.4,Too crowded and poorly managed
Annual Data Science Night,Hackathon,Friday,12PM,University Center,LinkedIn,102,104,2790,3.2,Good organization and networking
Modern Design Night,Seminar,Tuesday,12PM,Engineering Hall,LinkedIn,240,185,1876,2.7,Felt underprepared for the number of attendees
Emerging AI Summit,Workshop,Monday,10AM,Engineering Hall,LinkedIn,464,306,2610,2.8,Too crowded and poorly managed
Annual Cloud Computing Showcase,Career Fair,Monday,12PM,Student Center,LinkedIn,470,555,6971,3.0,Interesting but promotion was weak
Campus Data Science Forum,Career Fair,Tuesday,2PM,Engineering Hall,Instagram,190,184,5085,3.0,Interesting but promotion was weak
Annual AI Workshop,Social Event,Friday,12PM,Library,LinkedIn,260,273,9522,3.1,Interesting but promotion was weak
Advanced Innovation Workshop,Career Fair,Tuesday,4PM,Engineering Hall,Multiple,177,282,9407,3.0,Good organization and networking
Open Robotics Summit,Career Fair,Friday,4PM,Library,Multiple,307,417,5769,3.2,Interesting but promotion was weak
Emerging Research Meetup,Research Talk,Friday,12PM,University Center,Flyers,79,54,8228,2.6,Felt underprepared for the number of attendees
Modern Cloud Computing Workshop,Networking,Monday,12PM,Engineering Hall,Flyers,323,203,1416,2.4,Too crowded and poorly managed
Annual Innovation Showcase,Seminar,Tuesday,12PM,Engineering Hall,Multiple,212,212,6378,3.0,Average event could improve timing
Open Robotics Symposium,Research Talk,Friday,6PM,Engineering Hall,Multiple,146,207,8564,3.2,Average event could improve timing
Collaborative Data Science Workshop,Workshop,Monday,10AM,Engineering Hall,Multiple,162,142,826,3.0,Average event could improve timing
Annual Robotics Forum,Social Event,Tuesday,12PM,Library,Instagram,460,429,5801,2.7,Too crowded and poorly managed
Applied Cloud Computing Forum,Hackathon,Tuesday,10AM,Student Center,Flyers,87,76,6620,2.5,Felt underprepared for the number of attendees
Collaborative Networking Workshop,Workshop,Wednesday,2PM,Library,Instagram,130,116,7657,2.3,Felt underprepared for the number of attendees
Open Innovation Showcase,Networking,Saturday,6PM,Student Center,Flyers,164,136,3372,3.5,Interesting but promotion was weak
Campus Research Workshop,Research Talk,Tuesday,12PM,University Center,Multiple,250,338,9797,2.6,Too crowded and poorly managed
Community AI Meetup,Seminar,Friday,12PM,Student Center,Email,304,235,2804,2.4,"Turnout was disappointing, hard to stay engaged"
Global Career Showcase,Research Talk,Wednesday,12PM,University Center,Flyers,278,182,686,2.9,"Turnout was disappointing, hard to stay engaged"
Community Cloud Computing Meetup,Workshop,Wednesday,2PM,University Center,Email,74,87,6823,2.6,"Turnout was disappointing, hard to stay engaged"
Modern Networking Night,Career Fair,Thursday,4PM,Library,Multiple,242,379,2161,2.3,"Turnout was disappointing, hard to stay engaged"
Annual Entrepreneurship Workshop,Hackathon,Tuesday,12PM,Online,Email,459,575,1047,3.0,Interesting but promotion was weak
Regional Entrepreneurship Forum,Workshop,Monday,2PM,Engineering Hall,LinkedIn,132,111,1728,3.3,Average event could improve timing
Annual AI Workshop,Social Event,Thursday,10AM,Online,Instagram,360,520,7613,3.1,Good organization and networking
Global AI Summit,Networking,Tuesday,4PM,Student Center,Multiple,185,238,5112,4.0,Loved the speakers and content
Advanced AI Workshop,Career Fair,Friday,6PM,Online,Instagram,77,128,6411,3.2,Good organization and networking
Campus Networking Workshop,Seminar,Saturday,6PM,Online,Instagram,99,79,921,2.3,Too crowded and poorly managed
Open AI Showcase,Workshop,Thursday,10AM,Library,LinkedIn,291,267,8513,3.0,Average event could improve timing
Annual Design Symposium,Social Event,Thursday,12PM,Library,LinkedIn,239,198,3556,2.2,"Turnout was disappointing, hard to stay engaged"
Applied AI Summit,Career Fair,Wednesday,12PM,Library,Multiple,81,112,2976,3.3,Average event could improve timing
Advanced Product Symposium,Hackathon,Wednesday,6PM,Online,Multiple,166,436,9570,2.3,Too crowded and poorly managed
Advanced Innovation Summit,Social Event,Saturday,4PM,Student Center,Instagram,293,243,5396,3.1,Good organization and networking
Campus Robotics Meetup,Social Event,Friday,6PM,Student Center,Multiple,125,167,2470,3.8,Interesting but promotion was weak
Applied Robotics Night,Seminar,Tuesday,12PM,University Center,LinkedIn,90,87,7633,3.7,Good organization and networking
Interactive Entrepreneurship Night,Social Event,Wednesday,2PM,University Center,Email,248,275,9615,3.1,Interesting but promotion was weak
Regional Cloud Computing Meetup,Research Talk,Friday,4PM,University Center,Multiple,350,456,9061,3.5,Interesting but promotion was weak
Open Product Workshop,Networking,Friday,6PM,Student Center,Email,104,136,9719,3.0,Good organization and networking
Campus Design Symposium,Career Fair,Wednesday,4PM,Online,Multiple,361,857,8250,2.7,Too crowded and poorly managed
Global Data Science Showcase,Networking,Friday,6PM,Online,Email,252,314,5931,2.6,Felt underprepared for the number of attendees
Open Cybersecurity Night,Career Fair,Wednesday,2PM,University Center,Flyers,468,472,5465,2.8,"Turnout was disappointing, hard to stay engaged"
Open Innovation Symposium,Hackathon,Saturday,10AM,Engineering Hall,Instagram,203,187,7759,3.2,Interesting but promotion was weak
Collaborative Product Night,Social Event,Saturday,10AM,Engineering Hall,LinkedIn,158,113,7171,2.0,Felt underprepared for the number of attendees
Campus Product Forum,Research Talk,Monday,6PM,Engineering Hall,Email,209,192,8803,3.0,Interesting but promotion was weak
Annual Entrepreneurship Showcase,Workshop,Tuesday,12PM,Engineering Hall,Email,177,139,1041,2.8,"Turnout was disappointing, hard to stay engaged"
Annual Career Workshop,Networking,Wednesday,2PM,Online,Multiple,253,306,2529,3.4,Average event could improve timing
Emerging Robotics Night,Career Fair,Friday,4PM,Engineering Hall,LinkedIn,350,414,9533,2.6,"Turnout was disappointing, hard to stay engaged"
Modern Career Night,Research Talk,Saturday,10AM,Library,Email,247,103,1313,1.5,Too crowded and poorly managed
Annual Networking Summit,Networking,Saturday,12PM,Engineering Hall,Flyers,383,279,7209,3.1,Average event could improve timing
Open Innovation Showcase,Career Fair,Tuesday,12PM,Student Center,Email,164,162,4635,3.2,Average event could improve timing
Collaborative Design Showcase,Hackathon,Wednesday,4PM,Online,Flyers,285,342,4628,3.1,Good organization and networking
Emerging Product Showcase,Social Event,Friday,4PM,Student Center,Email,53,68,8880,2.5,Felt underprepared for the number of attendees
Open Networking Workshop,Social Event,Friday,2PM,Library,Email,296,238,1545,2.6,"Turnout was disappointing, hard to stay engaged"
Annual Research Symposium,Seminar,Wednesday,2PM,Library,Instagram,126,117,8975,2.6,Too crowded and poorly managed
Advanced Cloud Computing Showcase,Hackathon,Wednesday,12PM,University Center,LinkedIn,201,261,4750,3.5,Interesting but promotion was weak
Interactive Networking Night,Workshop,Friday,6PM,Engineering Hall,Flyers,421,389,4143,2.5,Felt underprepared for the number of attendees
Interactive Robotics Workshop,Career Fair,Saturday,2PM,Student Center,Flyers,482,361,3285,2.6,Felt underprepared for the number of attendees
Emerging Networking Summit,Workshop,Thursday,12PM,Library,Multiple,440,675,3499,3.4,Average event could improve timing
Open Research Workshop,Networking,Wednesday,12PM,Library,LinkedIn,453,422,5928,3.2,Interesting but promotion was weak
Global Product Summit,Career Fair,Monday,4PM,University Center,Multiple,347,530,1666,2.9,"Turnout was disappointing, hard to stay engaged"
Campus Career Workshop,Seminar,Saturday,4PM,Student Center,Flyers,261,144,1385,2.7,Too crowded and poorly managed
Collaborative Entrepreneurship Showcase,Career Fair,Friday,4PM,Engineering Hall,Flyers,491,425,3454,3.2,Good organization and networking
Modern Robotics Symposium,Networking,Wednesday,10AM,University Center,LinkedIn,190,143,3930,2.8,Too crowded and poorly managed
Advanced Cybersecurity Symposium,Seminar,Monday,12PM,Student Center,LinkedIn,374,325,7535,3.1,Interesting but promotion was weak
Global Data Science Showcase,Workshop,Monday,6PM,Engineering Hall,Flyers,57,59,5779,3.0,Average event could improve timing
Advanced Product Forum,Workshop,Saturday,12PM,Engineering Hall,Flyers,209,155,2612,3.2,Good organization and networking
Interactive Research Forum,Research Talk,Tuesday,10AM,University Center,Flyers,198,130,7969,2.6,Felt underprepared for the number of attendees
Advanced Data Science Meetup,Research Talk,Thursday,12PM,Library,LinkedIn,233,166,3587,2.1,Too crowded and poorly managed
Regional Entrepreneurship Showcase,Networking,Saturday,12PM,Engineering Hall,Email,351,266,8767,2.9,Too crowded and poorly managed
Annual Networking Summit,Hackathon,Monday,4PM,Library,Multiple,369,350,1296,2.6,Felt underprepared for the number of attendees
Interactive Design Symposium,Hackathon,Monday,10AM,University Center,LinkedIn,277,278,6730,3.6,Good organization and networking
Interactive Design Forum,Hackathon,Tuesday,12PM,University Center,Flyers,265,198,2154,2.9,Felt underprepared for the number of attendees
Regional AI Symposium,Social Event,Saturday,12PM,Online,Email,311,310,2428,2.3,"Turnout was disappointing, hard to stay engaged"
Advanced Design Meetup,Networking,Friday,12PM,Library,Multiple,153,167,6364,3.5,Average event could improve timing
Annual Networking Summit,Workshop,Friday,4PM,Engineering Hall,LinkedIn,219,242,4342,3.3,Good organization and networking
Community Innovation Summit,Workshop,Friday,4PM,Engineering Hall,Email,449,501,8883,3.4,Good organization and networking
Regional Robotics Night,Research Talk,Saturday,12PM,Online,Flyers,185,140,8106,2.8,Too crowded and poorly managed
Annual Data Science Night,Workshop,Wednesday,2PM,Library,LinkedIn,428,414,2398,3.5,Good organization and networking
Regional Entrepreneurship Night,Networking,Saturday,12PM,Library,Flyers,274,149,4895,2.1,Felt underprepared for the number of attendees
Community Cybersecurity Night,Research Talk,Tuesday,10AM,Online,LinkedIn,283,205,4953,3.1,Interesting but promotion was weak
Regional Cloud Computing Forum,Career Fair,Saturday,12PM,University Center,Instagram,406,464,1460,3.3,Good organization and networking
Annual Networking Night,Career Fair,Friday,4PM,Engineering Hall,Multiple,244,446,6375,2.2,Felt underprepared for the number of attendees
Regional Design Showcase,Hackathon,Tuesday,4PM,Online,Email,260,398,7720,2.3,Too crowded and poorly managed
Interactive Innovation Showcase,Research Talk,Monday,6PM,Student Center,Multiple,164,175,6042,3.0,Average event could improve timing
Interactive Research Summit,Social Event,Monday,4PM,Engineering Hall,LinkedIn,227,205,6805,2.6,Too crowded and poorly managed
Regional Cybersecurity Workshop,Workshop,Saturday,12PM,Student Center,LinkedIn,486,458,8623,2.2,Too crowded and poorly managed
Advanced Cloud Computing Night,Networking,Wednesday,2PM,University Center,Multiple,164,271,9519,2.5,Felt underprepared for the number of attendees
Collaborative Entrepreneurship Summit,Networking,Monday,4PM,Online,Multiple,279,332,1942,3.1,Interesting but promotion was weak
Interactive Data Science Night,Career Fair,Saturday,10AM,University Center,LinkedIn,261,225,1087,2.6,Felt underprepared for the number of attendees
Applied Cybersecurity Workshop,Workshop,Friday,6PM,Library,Multiple,337,534,3889,3.9,Average event could improve timing
Applied Entrepreneurship Showcase,Research Talk,Monday,12PM,Online,Flyers,336,225,8251,2.3,Felt underprepared for the number of attendees
Open Product Forum,Career Fair,Monday,10AM,Engineering Hall,Email,224,225,6318,3.6,Average event could improve timing
Community Innovation Symposium,Research Talk,Saturday,10AM,University Center,Instagram,302,176,2801,3.1,Average event could improve timing
Collaborative Career Showcase,Workshop,Wednesday,6PM,Engineering Hall,Instagram,111,145,6937,2.9,Too crowded and poorly managed
Applied Research Forum,Research Talk,Monday,4PM,University Center,Multiple,113,119,7881,2.9,"Turnout was disappointing, hard to stay engaged"
Collaborative Product Night,Networking,Thursday,10AM,Student Center,Email,333,368,7591,3.0,Average event could improve timing
Modern Research Workshop,Networking,Saturday,6PM,Engineering Hall,Instagram,103,118,6847,3.1,Average event could improve timing
